FIRST NAME,LAST NAME,User ID,Assignment 1,Assignment 2,Exam 1,Assignment 3,Assignment 4,Paper 1,Exam 2,Assignment 5,Assignment 6,Assignment 7,Paper 2,Final Exam,Total,Letter grade
Y5w79x8w,Zxx5s,329xx5s,91,66,80,97,70,100,95,68,61,71,76,96,81.17,B
K9qs8z,Y9zz5w,u439zz5,96,96,77,81,70,70,87,99,66,97,96,99,86.98,B
Q92v3,Y9s09x,7939s09,72,64,95,95,81,78,83,75,64,95,86,100,83.84,B
Ys89w,Y5ww5qq,3y35ww5,95,95,75,97,98,81,93,95,92,94,94,99,92.41,A
Q5s5xl,Y5s,7135s,85,90,88,69,92,89,99,79,77,98,83,95,88.25,B
H095,Ysv91,rw3sv91,97,94,65,81,76,95,90,92,86,78,88,98,86.44,B
T8wv,Xvss9y5r-W5y691v,6u2vss9,70,88,72,97,92,88,97,83,70,75,84,96,84.97,B
W9y5,Wvxw82z,151vxw8,98,86,69,70,73,96,94,68,80,73,70,93,81.13,B
M820vy9r,Wpww5,w1pww5,76,66,60,71,93,73,90,81,96,78,88,99,82.11,B
Hq5o5w,Us9w65s,r74s9w6,73,87,78,88,93,83,80,65,77,97,88,89,83.33,B
Q544s5l,T8y35sq,7s68y35,88,96,71,81,74,84,83,96,67,87,92,89,83.78,B
Hqp9sq,Tvwk9y5k,rr6vwk9,72,76,86,62,95,77,93,67,71,73,70,93,80.06,B
Y5w79x8w,Tpy9wr,3x6py9w,87,90,83,98,89,95,99,79,100,83,97,93,90.96,A
D5ry5l,Sv44x9w,nq0v44x,74,89,87,91,73,72,83,83,72,99,91,87,84.03,B
Qvw9q0vw,Sv6p5,720v6p5,94,93,73,92,93,89,87,71,96,87,99,95,88.64,B
Wprq8w,Q92zrvw,15792zr,90,76,60,94,90,61,83,91,97,90,92,91,84.52,B
Ys89w,Q5rr5,3975rr5,80,83,79,75,84,74,89,68,91,100,93,92,84.95,B
D5ry5l,Qv0wrvw,ns7v0wr,88,75,77,82,89,75,91,76,71,92,90,87,83.15,B
Hzly5s,P55y8w6,r7z55y8,79,90,70,91,97,90,97,63,95,81,96,86,85.91,B
N82095y,O8515s,x7y8515,83,89,97,67,94,99,92,63,70,81,80,94,85.26,B
Xs986,N92z5wk85,2vx92z5,82,69,90,97,79,85,80,76,80,90,79,97,84.32,B
X0s8rqvu05s,N9655,27x9655,72,69,80,97,92,75,100,63,78,88,81,92,83.44,B
W9w85y,Ls78,1wvs78,70,100,92,85,79,60,94,75,86,91,81,90,85.51,B
Ys9w1vw,H9yx,3xr9yx,87,95,98,61,95,67,85,89,83,85,88,97,87.86,B
Hq5o5w,H20ypqvn,ryr20yp,82,81,60,96,82,100,86,93,71,72,98,91,83.26,B
Zwq0vwl,H5yo9668v,9xr5yo9,97,80,72,98,78,94,95,62,78,91,73,89,83.46,B
Z9svw,Hy9x9,9xry9x9,74,76,60,86,83,82,84,69,69,93,87,92,79.71,B
Vo9w,Fsk5w,5ypsk5w,93,69,72,100,94,68,89,83,89,85,99,97,86.8,B
