Student Id,Student Name,Potential project feature ideas,Assignment 1,Preliminary Project details,Assignment 2,Project Requirements Specification,Assignment 3,Sprint 1,Midterm exam,Sprint 2,Assignment 4,Sprint 3,Project report,Assignment 5,Final exam,Total,Grade
739s3vr,"Y9s3vr9-Gvrq8, Qvw9r",94,100,89,85,81,100,78,94,91,78,79,92,94,100,89.59,A
3y35ww5,"Y5ww5qq, Ys89w",92,85,86,82,75,93,75,87,91,84,98,76,96,99,88.06,B
7135s,"Y5s, Q5s5xl",96,91,100,78,82,99,83,90,96,77,96,83,79,87,88.52,B
x3svxr,"Ysvxr, N9sz",83,95,88,87,93,99,79,86,75,98,84,75,97,79,85.2,B
w42svny,"Xsvny5l, M59y",87,87,83,89,81,96,94,81,91,87,85,95,78,76,85.53,B
9s2pww8,"Xpww8w609x, Z19x",86,83,79,100,92,82,99,83,99,98,75,76,93,82,87.47,B
151vxw8,"Wvxw82z, W9y5",91,97,77,78,90,86,96,98,80,88,85,80,88,92,88.43,B
zx48r05,"U8r05s, P5o8w",88,78,99,77,87,82,99,78,93,85,95,84,82,80,86.58,B
r26vv19,"Tvv19y8r, Hq5o5w",95,91,93,81,75,86,91,75,97,78,84,94,78,77,84.4,B
3x6py9w,"Tpy9wr, Y5w",78,76,84,88,87,99,93,88,94,97,85,79,93,82,87.53,B
9q09ss8,"S9ss8rvw, Z19x",89,76,85,87,76,96,81,77,94,85,86,93,81,84,84.54,B
3s09rr5,"S9rr5, Ys91",90,77,82,88,88,83,82,84,84,88,85,87,91,82,84.46,B
s10vyy5,"Svyy5wrq98w, Iv35sq",100,90,87,85,90,80,98,92,87,99,92,92,83,98,91.7,A
620px8r,"Spx8rqvw, Ts56",87,80,96,81,90,81,98,97,76,100,76,100,88,90,88.41,B
ns7v0wr,"Qv0wrvw, D5r",77,84,95,98,99,83,79,99,82,78,98,93,85,96,90.24,A
9zy58w,"Py58w, Zy52",94,79,100,85,90,97,94,93,81,94,92,95,100,75,88.87,B
7qzy8w6,"Py8w6, Q9s51",85,88,92,95,80,79,85,75,87,81,88,87,96,100,87.55,B
3qzv5sw,"Pv5sw5s, Ys91",91,78,75,77,95,76,77,92,89,75,88,95,75,82,83.83,B
9xzs5pk,"Ps5pk5s, Zy5m",86,75,86,86,87,98,75,89,81,80,90,99,89,77,84.37,B
xx8rzvo,"N8rzvo82, N8y829",95,91,95,85,82,93,78,99,75,79,79,91,75,88,85.34,B
3yxpss9,"Npss9l, Y5w",78,89,99,84,77,87,89,85,97,98,99,95,96,80,89.13,B
1wvs78,"Ls78, W9w85y",98,84,76,88,91,77,75,83,96,80,91,81,97,78,84.66,B
r7u920v,"K920vyrz8, H2vqq",82,91,87,86,98,87,75,78,98,83,78,81,87,88,85.52,B
3xr9yx,"H9yx, Ys9w1vw",86,94,97,84,98,83,93,92,84,80,84,76,89,96,89.29,B
ryr20yp,"H20ypqvn, Hq5o5w",93,88,92,84,78,92,93,82,84,86,76,83,89,98,87.15,B
8wo9s28,"E9s2896, Qpy89w",88,98,93,87,89,86,89,89,85,100,91,86,95,77,88.07,B
